acq_num,evt_num,windnum,time,data_ch2
0,23,28,1168,29.8
0,23,28,1169,26.6
0,23,28,1170,23.5
0,23,28,1171,26.9
0,23,28,1172,30.1
0,23,28,1173,25.3
0,23,28,1174,25.3
0,23,28,1175,27.5
0,23,28,1176,27.9
0,23,28,1177,28.9
0,23,28,1178,27.2
0,23,28,1179,26.0
0,23,28,1180,28.5
0,23,28,1181,26.0
0,23,28,1182,30.0
0,23,28,1183,28.8
0,23,28,1184,29.5
0,23,28,1185,25.4
0,23,28,1186,28.0
0,23,28,1187,21.8
0,23,28,1188,28.1
0,23,28,1189,26.0
0,23,28,1190,23.6
0,23,28,1191,27.9
0,23,28,1192,25.2
0,23,28,1193,26.8
0,23,28,1194,24.1
0,23,28,1195,26.6
0,23,28,1196,27.6
0,23,28,1197,26.2
0,23,28,1198,27.7
0,23,28,1199,27.2
0,23,28,1200,25.3
0,23,28,1201,25.1
0,23,28,1202,28.5
0,23,28,1203,28.9
0,23,28,1204,27.5
0,23,28,1205,29.2
0,23,28,1206,29.0
0,23,28,1207,27.6
0,23,28,1208,26.3
0,23,28,1209,28.3
0,23,28,1210,27.1
0,23,28,1211,29.0
0,23,28,1212,32.3
0,23,28,1213,27.1
0,23,28,1214,27.3
0,23,28,1215,32.5
0,23,29,1216,31.1
0,23,29,1217,28.2
0,23,29,1218,29.3
0,23,29,1219,29.3
0,23,29,1220,27.7
0,23,29,1221,26.0
0,23,29,1222,20.8
0,23,29,1223,24.5
0,23,29,1224,26.9
0,23,29,1225,27.7
0,23,29,1226,24.6
0,23,29,1227,23.8
0,23,29,1228,24.8
0,23,29,1229,27.8
0,23,29,1230,25.2
0,23,29,1231,22.7
0,23,29,1232,28.6
0,23,29,1233,25.0
0,23,29,1234,29.1
0,23,29,1235,25.1
0,23,29,1236,30.4
0,23,29,1237,27.2
0,23,29,1238,21.8
0,23,29,1239,29.2
0,23,29,1240,27.6
0,23,29,1241,30.6
0,23,29,1242,30.8
0,23,29,1243,26.3
0,23,29,1244,27.0
0,23,29,1245,24.3
0,23,29,1246,25.8
0,23,29,1247,24.4
0,23,29,1248,26.0
0,23,29,1249,26.4
0,23,29,1250,24.7
0,23,29,1251,25.0
0,23,29,1252,27.3
0,23,29,1253,26.1
0,23,29,1254,20.9
0,23,29,1255,24.5
0,23,29,1256,26.0
0,23,29,1257,23.9
0,23,29,1258,25.2
0,23,29,1259,23.0
0,23,29,1260,22.0
0,23,29,1261,24.3
0,23,29,1262,24.3
0,23,29,1263,26.7
0,23,29,1264,23.2
0,23,29,1265,22.1
0,23,29,1266,26.2
0,23,29,1267,28.5
0,23,29,1268,26.7
0,23,29,1269,28.0
0,23,29,1270,26.4
0,23,29,1271,31.0
0,23,29,1272,25.3
0,23,29,1273,30.7
0,23,29,1274,27.3
0,23,29,1275,25.5
0,23,29,1276,26.8
0,23,29,1277,26.5
0,23,29,1278,24.6
0,23,29,1279,23.2
0,23,30,1280,28.2
0,23,30,1281,29.0
0,23,30,1282,28.7
0,23,30,1283,23.4
0,23,30,1284,26.4
0,23,30,1285,29.3
0,23,30,1286,27.3
0,23,30,1287,27.0
0,23,30,1288,24.7
0,23,30,1289,27.7
0,23,30,1290,28.4
0,23,30,1291,27.6
0,23,30,1292,27.5
0,23,30,1293,26.9
0,23,30,1294,26.2
0,23,30,1295,28.7
0,23,30,1296,25.4
0,23,30,1297,29.6
0,23,30,1298,22.1
0,23,30,1299,27.4
0,23,30,1300,28.5
0,23,30,1301,28.8
0,23,30,1302,28.8
0,23,30,1303,32.1
0,23,30,1304,24.8
0,23,30,1305,26.2
0,23,30,1306,24.7
0,23,30,1307,24.4
0,23,30,1308,24.0
0,23,30,1309,27.8
0,23,30,1310,28.2
0,23,30,1311,28.4
0,23,30,1312,27.6
0,23,30,1313,24.8
0,23,30,1314,25.6
0,23,30,1315,26.2
0,23,30,1316,27.5
0,23,30,1317,28.0
0,23,30,1318,28.7
0,23,30,1319,31.0
0,23,30,1320,28.1
0,23,30,1321,28.4
0,23,30,1322,27.1
0,23,30,1323,27.9
0,23,30,1324,30.7
0,23,30,1325,26.4
0,23,30,1326,31.7
0,23,30,1327,27.6
0,23,30,1328,33.0
0,23,30,1329,31.4
0,23,30,1330,29.2
0,23,30,1331,28.8
0,23,30,1332,27.8
0,23,30,1333,29.9
